<ανά>γνωστος|hard to read
<εἰσ>παραδέχομαι|receive
<ρ>ρήξ|torn off
@Βύνη|the sea-goddess Ino
@Δῆλος|Delos
@Εὐσέβεια|patrons of
@Εὖρος|the East wind
@Θήρα|from Thera
@Κάδμος|the Cadmeans or ancient inhabitants of Thebes
@Κάρ|experimentum facere in corpore vili
@Κάρνειος|festival held in his honour
@Καρπάσιον|asbestos (from Carpasia
@Καρύϊνος|nut-brown
@Κλάριος|distributing by lot
@Κλάριος1|distributing by lot
@Κλάριος2|of
@Κρήτη|from Crete
@Κρόνος|a dotard, old fool
@Κύπριος|of Cyprus, Cyprian
@Κύπρος|from Cyprus
@Κώρυκος|spying out
@Κῦρος|the elder Cyrus
@Κῶς|to Cos
@Λ|os hyoÃ¯des
@Λάμια|a fabulous monster said to feed on man's flesh
@Λίνδος|from Lindos
@Λίνος|the song or lay of Linos
@Λύκιος|the Lycians
@Μαιῆτις2|a fish caught there, and in the Nile
@Μυσός|a prey to all
@Μῆδος|Mede, Median
@Νέαιρα|Neaera
@Ξ|samech
@Πάνορμος|its people
@Πάρος|Paros
@Πηλούσιον|inhabitant of P.
@Πηλούσιον1|inhabitant of P.
@Πλάτων|broad-shouldered
@Πολιάς|guardian of the city
@Σ|shin
@Σάραπις|Osiris-Apis
@Σήρ|silkworm
@Σκῦρος|of or from Scyros
@Σμύρνα|of Smyrna
@Σπάρτη|from Sparta
@Σπανός|grey
@Συβαρίζω|live like a Sybarite or voluptuary
@Συρίζω|speak like a Syrian
@Σύρος2|Syrian
@Τυμωλίς|inhabitants of T.
@Τυμωλίς1|inhabitants of T.
@Φάρος|Pharos
@Χέω1|diffuse completely
@Χέω2|decant
@Χείμερος|unfitted to endure winter
@Χείρων|Cheiron
@Χειμάζω|winter in
@Χορος2|with fair dancing-grounds
@Χράομαι1|abuse
@Χράομαι2|exploit together
@Χροος|of bad complexion
@Χροος1|of bad complexion
@Χροος2|beautiful-coloured
@Χωρέω1|to be fond of dwelling in, haunt
@Χωρέω2|go away together
@Χωρισμός|renewed execution
@Ψ|kh
@α2|to be moistened
@αἶα2|avia.
@αὐονή|dryness, withering, drought
@αὐονή1|dryness, withering, drought
@αὐονή2|cry
@αὔω|get a light, light a fire
@αὔω1|get a light, light a fire
@αὔω2|cry out, shout, call aloud
@βάτος|bramble, Rubus ulmifolius
@βάτος1|bramble, Rubus ulmifolius
@βάτος2|fish
@βάτος3|bath
@βαθυδίνης|deep-eddying
@βαθυδίνης1|deep-eddying
@βαθόημι2|come to aid, succour, assist, aid
@βικίον2|vetch, Vicia sativa
@βορός|gluttonous
@βορός1|gluttonous
@βορός2|juice of pressed grapes
@βούβαστις|five
@βούβαστις1|five
@βούβαστις2|groin
@βραχίων|arm
@βραχίων1|arm
@βρόμος|any loud noise
@βρόμος1|any loud noise
@βρόμος2|oats, Avena sativa
@βρῶμος2|stink, noisome smell
@βύζω|to be frequent
@βύζω1|to be frequent
@βύζω2|hoot
@βύνη|malt for brewing
@βώμιος|of an altar
@βῆμα|step, pace
@βῆμα1|step, pace
@γάδος|fish
@γάδος1|fish
@γάδος2|ganeo
@γάνος|brightness, sheen
@γάνος1|brightness, sheen
@γάνος2|Ber. SÃ¤chs.Gesellsch.
@γευστός|that may be tasted
@γνωτός|perceived, understood, known
@γνωτός1|perceived, understood, known
@γνωτός2|kinsman, kinswoman
@δάνος|gift, present
@δάνος1|gift, present
@δέλλις|wasp
@δέλλις1|wasp
@δέλτος2|writing-tablet
@δέω|bind, tie, fetter
@δέω1|bind, tie, fetter
@δέω2|lack, miss, stand in need of
@δήν|for a long while
@δήω|find, meet with
@δήω1|find, meet with
@δήω2|burn
@δίοπος|ruler, commander
@δίοπος1|ruler, commander
@δίοπος2|with two holes
@δίς|twice, doubly
@δαΐς|fire-brand, pinetorch
@δαΐς1|fire-brand, pinetorch
@δαίς2|meal, banquet
@δαίω|dunÅ Ã³ti
@δαίω1|dunÅ Ã³ti
@δαίω2|divide
@δαλός|fire-brand
@δαλός1|fire-brand
@δαῦκος|Cretensis
@δαῦκος1|Cretensis
@δείλομαι|verge towards afternoon
@δείλομαι1|verge towards afternoon
@δεύω|wet, drench
@δεύω1|wet, drench
@δεύω2|miss, want
@δεῖνος2|different round vessels
@δηλέομαι|hurt, do a mischief to
@δηλέομαι1|hurt, do a mischief to
@δητός|bundle
@δητός1|bundle
@διαδικέω|contend at law
@διαδικέω1|contend at law
@διαδικέω2|do wrong, injure
@διαείδω|discern, distinguish
@διαείδω1|discern, distinguish
@διαείδω2|contend in singing
@δορά|skin when taken off, hide
@δορά1|skin when taken off, hide
@δοῦλος|born bondman or slave
@δοῦλος1|born bondman or slave
@δράω|do, accomplish
@δράω1|do, accomplish
@δυσαχής2|most painful
@δόλος|bait
@δόλος1|bait
@δόμα|gift
@δόμα1|gift
@δύσαυλος|bad for lodging, inhospitable
@δύσαυλος1|bad for lodging, inhospitable
@δύσαυλος2|an unhappy
@δύστομος|hard-mouthed
@δύστομος1|hard-mouthed
@δύστομος2|hard to cut
@δύω2|cause to sink, sink, plunge in
@δῆλος|visible, conspicuous
@δῖος|heavenly
@δῖος1|heavenly
@εἰ|if
@εἰ1|if
@εἴκω|to be like, seem likely
@εἴκω1|to be like, seem likely
@εἴκω2|give way, retire
@εἴρη|a place of assembly
@εἴρη1|a place of assembly
@εἴρη2|rainbow
@εἴρω|fasten together in rows, string
@εἴρω1|fasten together in rows, string
@εἴρω2|say, speak, tell
@εἴρω3|ask
@εὐήτριος|with good or fine thread, well-woven
@εὐήτριος1|with good or fine thread, well-woven
@εὐαγής|free from pollution, pure
@εὐαγής1|free from pollution, pure
@εὐαγής3|bright, clear
@εὐθαλής|blooming, flourishing, thriving
@εὐθαλής1|blooming, flourishing, thriving
@εὐθαλής2|flourishing, thriving
@εὐκράς|temperate, of even temperature
@εὐκράς1|temperate, of even temperature
@εὐκτέανος|wealthy
@εὐκτέανος1|wealthy
@εὐοψία|abundance of
@εὐοψία1|abundance of
@εὐοψία2|good looks
@εὐσέβεια|reverence towards the gods or parents, piety
@εὐωπός|friendly
@εὐωπός1|friendly
@εὐωπός2|sea-fish
@εὐώνυμος|of good name, honoured
@εὐώνυμος1|of good name, honoured
@εὐώνυμος2|spindle-tree, Euonymus europaeus
@εὔκηλος|free from care, at one's ease
@εὔκηλος1|free from care, at one's ease
@εὔκηλος2|easily burning
@εὔρινος2|of good leather
@εὖνις|reft of, bereaved of
@εὖνις1|reft of, bereaved of
@εὖνις2|bedfellow, wife
@εὖρος|breadth, width
@θέα|seeing, looking at
@θέα2|seeing, looking at
@θέω|run
@θέω1|run
@θέω2|shine, gleam
@θήρα|hunting of wild beasts, the chase
@θειώδης|sulphureous
@θειώδης1|sulphureous
@θειώδης2|divine.
@θεσμοφόριον|temple of Demeter
@θεσμοφόριον1|temple of Demeter
@θεῖον|brimstone
@θεῖον1|brimstone
@θεῖον2|the Divinity
@θεῖος|of or from the gods, divine
@θεῖος1|of or from the gods, divine
@θεῖος2|one's father's or mother's brother, uncle
@θοάζω|move quickly, ply rapidly
@θοάζω1|move quickly, ply rapidly
@θοάζω2|sit
@θολία|conical hat with broad brim
@θολία1|conical hat with broad brim
@θολός|mud, dirt
@θολός1|mud, dirt
@θοός|quick, nimble
@θοός1|quick, nimble
@θοός2|pointed, sharp
@θρέπτρα2|a nurse
@θρᾷττα|a small sea-fish
@θυμώδης|fierce
@θυμώδης1|fierce
@θυμώδης2|like thyme
@θύμος2|warty excrescence
@θύω|offer by burning
@θύω1|offer by burning
@θύω2|rage, seethe
@ιος|mocking, taunting
@ιος1|mocking, taunting
@κάλλιον2|board or bench of magistrates
@κάλπη|trot
@κάλπη1|trot
@κάλπη2|pitcher
@κάννα2|pole-reed, Arundo Donax
@κάρ2|s worth
@κάρα|head
@κάρα1|head
@κάρα2|tame goat
@κάστωρ|beaver, Castor fiber
@κάταγμα|wool drawn or spun out, worsted
@κάταγμα1|wool drawn or spun out, worsted
@κάταγμα2|fragment
@κάτισις|division into parts
@κάτισις1|division into parts
@κάτοπτος|visible
@κάτοπτος1|visible
@κάτοπτος2|dried-up
@κέρχνος2|rough excrescence
@κέρχνος3|rough, hoarse
@κίρκη|bird
@καί|and
@καί1|and; also Adv. even, just
@καί2|and now
@καί3|and so
@καίτοι|and indeed, and further
@κακκάβη|three-legged pot
@κακκάβη1|three-legged pot
@κακκάβη2|partridge
@καλόπους2|with beautiful feet
@καρπάσιον|flax
@καρπίζω|enjoy the fruits of
@καρπίζω1|enjoy the fruits of
@καρπίζω2|enfranchise a slave by touching him with the rod
@καρπισμός|exhaustion
@καρπισμός1|exhaustion
@καρπισμός2|vindiciae
@καρπός|fruit
@καρπός1|fruit
@καρπός2|wrist
@καρύϊνος|of nuts
@κατά|downwards.
@κατά1|downwards.
@καταδέω|bind on or to, bind fast
@καταδέω1|bind on or to, bind fast
@καταδέω2|lack, need
@καταδεής|wanting in, lacking
@καταδεής1|wanting in, lacking
@καταδεής2|timid
@κατακλάω2|break short, snap off
@καταλέγω|lay down
@καταλέγω1|lay down
@καταλέγω2|recount, tell at length and in order
@καταλεύω|stone to death
@καταλεύω1|stone to death
@κατανέω|heap, pile up
@κατανέω1|heap, pile up
@κατανέω2|spin out
@καταπλώω|sail down
@καταπλώω1|sail down
@κατισμός2|placing among the stars
@καὶ|for also, for in fact
@καὶ1|for also, for in fact
@καὶ3|so now
@καῦσος|causus
@καῦσος1|causus
@κείω|to lie down
