72248	μετρητής	metrhth/s	measurer	μετρητής [gens : οῦ (ὁ) ]	mesureur, jaugeur ; mesure pour les liquides (équivalente à 12~χόες ou 144 κοτύλαι, ou ¾~de médimne attique)	mesureur	Messer	12	36
* 76368	ὄπις	o)/pis	the vengeance	1 ὄπις [gens : ιδος (ἡ) ]@2 *ὄπις [adv. prép. ]	providence divine@en arrière, derrière, et dans les dérivés ou composés de près, à, derrière	La vengeance	Die Rache	16	36
8231	Πολίτης	*poli/ths	Polites, a son of Priam, or, a companion of Odysseus	Πολίτης [gens : ου (ὁ) ]	Politès	Polites, fils de Priam, ou compagnon d'Ulysse	Höfliche, ein Sohn des Priamos oder ein Gefährte des Odysseus	14	36
98093	σφριγάω	sfriga/w	to be full to bursting	σφριγάω	être gonflé de suc, de sève ; être dans toute sa force ; éprouver des désirs ardents ou lascifs	Être plein d'éclater	Voll zum Platzen sein	8	36
106354	ταναήκης	tanah/khs	with long point	ταναήκης [des : ης, ες ]	allongé et aigu, allongé en pointe ; allongé	Avec un long point	Mit langem punkt	5	36
113563	χάλαζα	xa/laza	hail	χάλαζα [gens : ης (ἡ) ]	grêle, grain de grêle	saluer	Hagel	39	36
? 10279	Χοίριος	*xoi/rios		χοίριος > χοίρειος [des : α ος, ον, ]	de cochon, de porc			3	36
3109	Αἴνιος	*ai)/nios	a Paeonian, slain by Achilles	Αἴνιος [gens : ου (ὁ) ]	Ænios, (h.) ; d'Ænos	un Paeonian, tué par Achille	ein Paeonianer, getötet von Achilles	12	37
1061	Ἀφαρεύς	*)afareu/s	a Greek, son of Calētor	Ἀφαρεύς [gens : έως, (ὁ) ]	Apharée	un Grec, fils de Calētor	ein Grieche, Sohn von Calētor	35	37
4133	Δρυμός	*drumo/s	copse	Δρυμός [gens : οῦ (ἡ) (τὸ) ]	Drymos ou Drymon	taillis	Gehölz	5	37
50616	εἰσβλέπω	ei)sble/pw	look at	εἰσϐλέπω	regarder fixement	Regarder	ansehen	7	37
48549	ἐπιρροφέω	e)pirrofe/w	swallow besides	ἐπιρροφέω	avaler en outre ; avaler avidement	Avaler en plus	Schlucken auch	5	37
71194	μεριστός	meristo/s	divided	μεριστός [des : ή, όν ]	partagé, divisé ; qu'on peut partager, divisible	divisé	geteilt	16	37
72249	μετρητικός	metrhtiko/s	skilled in measuring	μετρητικός [des : ή, όν, ]	qui concerne le mesurage	Compétent pour mesurer	Qualifizierte Messungen	20	37
7206	Μύκονος	*mu/konos	it's all one	Μύκονος [gens : ου (ὁ) ]	Mykonos (auj. Mýkonos)	Tout est un	Es ist alles eins	8	37
82562	πασσαλεύω	passaleu/w	to pin	πασσαλεύω	fixer avec un clou, clouer ; enfoncer comme un clou	accrocher	anheften	6	37
84656	περικύκλωσις	periku/klwsis	encircling	περικύκλωσις [gens : εως (ἡ) ]	action d'entourer comme d'un cercle, d'investir	Encerclant	Umkreisen	6	37
8232	Πολίχνη	*poli/xnh	fort	Πολίχνη > Πολίχνα	Polikhna	fort	Fort	11	37
107379	τήνελλος	th/nellos	Hurrah!	τήνελλος [gens : ου (ὁ) ]	vainqueur acclamé par le cri	Hourra!	Hurra!	6	37
110464	ὑπεκτρέχω	u(pektre/xw	to run out from under, escape from	ὑπεκτρέχω	s'échapper en courant, fuir, éviter	fuir de dessous, échapper à	von unten weglaufen, entkommen von	7	37
11312	ἄλη	a)/lh	ceaseless wandering	ἄλη [gens : ης (ἡ) tr. intr. ]	ce qui fait errer	errance incessante	unaufhörliches Wandern	14	38
20636	ἀντιβαίνω	a)ntibai/nw	to go against, withstand, resist	ἀντιϐαίνω	marcher contre, résister, lutter	aller contre, résister, résister	widerstehen, widerstehen, widerstehen	28	38
36102	δυσκίνητος	duski/nhtos	hard to move	δυσκίνητος [des : ος, ον ]	difficile à mouvoir	Difficile à déplacer	Schwer zu bewegen	13	38
48550	ἐπιρροή	e)pirroh/	afflux	ἐπιρροή [gens : ῆς (ἡ) ]	flux (p. opp. à reflux) ; courant d'une rivière	afflux	Afflux	16	38
? 38	Ἕρση	*(/ersh		ἕρση [gens : ης (ἡ) ]	rosée, goutte de rosée			5	38
