45386	ἐπέτειος	e)pe/teios	annual	ἐπέτειος [des : ος, ον, ]	annuel	annuel	Jährlich	39	2
39167	ἐφαπτίς	e)fapti/s	soldier's upper garment	ἐφαπτίς [gens : ίδος (ἡ) ]	sorte de manteau de soldat	Le vêtement supérieur du soldat	Oberbekleidung des Soldaten	5	2
61910	καταβιβρώσκω	katabibrw/skw	eat up	καταϐιϐρώσκω	avaler, dévorer, engloutir	dévorer	aufessen	9	2
? 64990	κνησμονή	knhsmonh/	itching	κνησμόνη > κνησμός [gens : ης (ἡ) ]	démangeaison, chatouillement	Démangeaisons	Juckreiz	3	2
66017	κράδη	kra/dh	quivering spray at the end of a branch	κράδη [gens : ης (ἡ) ]	extrémité d'une branche d'arbre (ce qui se balance au vent) ; branche de figuier	Spray tremblement au bout d'une branche	Zitterndes Spray am Ende eines Zweiges	5	2
67041	κυνίδιον	kuni/dion	little dog	κυνίδιον [gens : ου (τὸ) ]	petit chien	petit chien	kleiner Hund	10	2
6146	Λαβδακίδαι	*labdaki/dai	the Labdakids, descendants of Labdakos	Λαϐδακίδαι [gens : ῶν (οἱ) ]	les descendants de Labdakos, les Labdacides	les Labdakids, descendants de Labdakos	die Labdakiden, Nachkommen von Labdakos	8	2
77359	ὀνομαστός	o)nomasto/s	named, to be named	ὀνομαστός [des : ή, όν ]	qu'on peut nommer ou prononcer ; renommé, célèbre	nommé, à nommer	benannt, benannt werden	86	2
? 8197	Πόλλης	*po/llhs		Πολλῆς [des : -ῆν (ὁ) ]	Pollès, (roi)			3	2
93951	προστρόπαιος	prostro/paios	turning oneself towards	προστρόπαιος [des : ος, ον ]	qui se tourne vers qqn en suppliant, suppliant ; qui concerne les supplications	Se tournant vers	Sich umdrehen	23	2
9221	Σιλανός	*silano/s		Σιλανός [gens : οῦ (ὁ) ]	Silanos, (h.)	Silanos, (h.)		18	2
100109	στέριφος	ste/rifos	firm	στέριφος [des : η, ον ]	solide, ferme, dur ; stérile	raffermir	Firma	8	2
103237	συβώτης	subw/ths	swineherd	συϐώτης [gens : ου (ὁ) ]	gardeur de pourceaux, porcher	Porcherie	Schweinehirt	77	2
? 114553	χλωρηίς	xlwrhi/s	of the greenwood	χλωρηΐς [gens : ΐδος adj. f. ]	verdâtre ; jaunâtre, qui chante dans la verdure	Du greenwood	Des Grünholzes	3	2
3	Ἅγνων	*(/agnwn		Ἅγνων [gens : ωνος (ὁ) ]	Hagnôn, (h.)	Hagnôn, (h.)		27	3
14375	ἀκρωτήριον	a)krwth/rion	any prominent part	ἀκρωτήριον [gens : ου (τὸ) ]	toute partie saillante ou supérieure	toute partie importante	jeder prominente Teil	81	3
15409	ἀμφίβληστρον	a)mfi/blhstron	anything thrown round; a net	ἀμφίϐληστρον [gens : ου (τὸ) adj. ]	ce qu'on jette autour	tout ce qui est jeté; un filet	alles, was herumgeworfen wird; ein Netz	12	3
17499	ἀναγωγή	a)nagwgh/	leading up	ἀναγωγή [gens : ῆς (ἡ) ]	action d'emmener en haut, de cracher ; action de gagner le large ; action d'élever (l'âme) ; action d'élever, éducation, discipline ; restitution légale ; paiement de taxes, d'impôts ; action de rapporter ou de rattacher à	menant	Aufsteigen	78	3
* 29873	βρωμάομαι	brwma/omai	bray	2 βρωμάομαι@1 βρωμάομαι	répandre une odeur infecte, puer@braire	braire	schreien	3	3
57774	ἴτυς	i)/tus	edge/rim of a shield; felloe of a wheel	ἴτυς [gens : υος (ἡ) ]	tour, circonférence	bord / bord d'un bouclier; camarade d'une roue	Kante / Rand eines Schildes; Felloe eines Rades	14	3
59826	καθίημι	kaqi/hmi	to send down, let fall	καθίημι [tr. intr. ]	faire descendre ; descendre (ou se lancer)	envoyer, laisser tomber	runter senden, fallen lassen	197	3
61911	καταβιόω	katabio/w	pass one's life	*καταϐιόω	vivre jusqu'au bout	Passe sa vie	Überleben Sie das Leben	21	3
63963	κεραμικός	keramiko/s	of or for pottery	κεραμικός [des : ή, όν ]	d'argile	de ou pour la poterie	von oder für Keramik	6	3
64991	κνησμώδης	knhsmw/dhs	affected with itching	κνησμώδης [des : ης, ες ]	qui éprouve une démangeaison	Affecté par les démangeaisons	Mit Juckreiz betroffen	7	3
76335	ὄμβριος	o)/mbrios	rainy	ὄμϐριος [des : ος, ον ]	qui provient de pluie ; qui produit la pluie, pluvieux	pluvieux	regnerisch	17	3
