lemma_beta,freq
o(,327
kai/,240
e)gw/,218
de/,159
o(/de,139
s1u/,139
ga/r,118
ou),112
ei)mi/,97
a)nh/r,85
a)/n1,83
a)lla/,77
w(s,71
tis,71
o(/s,70
ou(=tos,70
te,65
mh/,62
kako/s,60
ti/s,55
me/n,53
e)/xw,53
au)to/s,52
e)n,52
w)=,50
pro/s,50
ei),46
pa=s,45
qeo/s,42
h)/,42
nu=n,41
me/gas,39
ge,37
qnh/s1kw,37
*ai)/as,37
fi/los,35
s1o/s,34
e)mo/s,34
pote/,34
xei/r,32
ou)de/,32
e)kei=nos,31
le/gw,31
ou)dei/s,31
ei)s,29
e)k,27
ou)/te,24
lo/gos,24
e)xqro/s,23
pai=s,23
path/r,21
e)pi/,20
w(=de,20
polu/s,20
mhdei/s,20
gi/gnomai,20
ei)=don,20
mo/nos,19
dra/w,19
a)ei/,19
dh/,19
h)=,19
*teu=kros,19
mhde/,19
i)w/,19
o(ra/w,19
toio/s1de,18
eu)=,18
frone/w,18
a)/llos,18
e)/ti,17
pa/reimi,17
o(/s1tis,17
s1trato/s,17
toi,17
kata/,16
toiou=tos,16
u(po/,15
e)/pos,15
pi/ptw,15
oi)=da,15
e)qe/lw,15
para/,15
a)po/,15
w(/s1te,14
ou)=n,14
blw/s1kw,14
oi(=os,14
s1u/n,14
pou/,14
deino/s,14
po/nos,13
dh=ta,13
xro/nos,13
e)/rgon,13
o(/s1os,12
gunh/,12
ta/las,12
manqa/nw,12
doke/w,12
o(/pws,12
za/w,12
klu/w,12
xa/ris,12
a)/ra,11
h)/dh,11
*)argei=os,11
broto/s,11
ei)=pon,11
krate/w,11
lamba/nw,11
fe/rw,11
fai/nw,11
a)/gw,11
ei)=mi,10
*)odus1s1eu/s,10
a)=ra,10
*)atrei/dhs,10
pw=s,10
h(me/ra,10
a)/nqrwpos,10
w)/moi,10
oi)/moi,10
o)/mma,10
mh/thr,10
pou=,10
a)kou/w,10
kalo/s,10
ou)ke/ti,10
au)=,9
du/s1thnos,9
gnw/mh,9
*zeu/s,9
e)/oika,9
ta/xa,9
nin,9
fhmi/,9
a)/th,9
kei=mai,9
a)rke/w,9
e)a/n,9
