
παλάμη	paume de la main, main ; travail de la main
πολεμαίνετος	Célèbre dans la guerre
Πόλλις	Pollis, (h.)
στέρνιον	Sein
συνίστημι	(tr.) placer debout avec ou en même temps || (intr.) se rencontrer ; en venir aux mains ; entrer en relation avec || (moy.) former ou organiser pour soi ; entreprendre
τεχνητός	fait par l'art, artificiel
τριηραρχέω	commander une trirème ; équiper une trirème
Χερσόνησος	le Chersonèse (thrace); la Crimée
Ὠρείθυια	Ôreithyia (Orithyie)
Ἅλη	
ἀμφίβολος	jeté autour ; enveloppé ; ambigu || qui peut se lancer des deux côtés, à double pointe
ἀναγωγία	manque d'éducation, grossièreté
ἀνεγείρω	faire lever ; (moy.) se lever
δεκασμός	action de corrompre, corruption (d'un juge, etc.)
διαζύγια	disjonction ; séparation ; divorce
Δορπία	le premier jour de la fête des Apaturies, que l'on célébrait par un souper public dans chaque phratrie
εἰσαγγελία	annonce, message
ἐκλείπω	délaisser, quitter, laisser de côté || (intr.) manquer, cesser, disparaître
ἐφαρμόζω	ajuster (tr.) || s'adapter à, être en harmonie avec (intr.); s'adapter, se mettre d'accord avec (moy. tr.) || ajuster sur ou pour soi (moy. intr.)
ἴυγξ	bergeronnette (oiseau) || sortilège d'amour
καταβλάπτω	nuire à, léser
μετοικέω	émigrer, changer de résidence
Μοσσύνοικοι	les Mossynœkes, « habitants de huttes en bois »
πολεμαρχέω	être polémarque
Πόλος	pivot sur lequel tourne une chose || ce qu'on retourne ; terre retournée, labourée
Δορίμαχος	qui combat avec la lance
ἐκλέγω	choisir ; enlever, arracher ; choisir pour soi ; prélever
ἐπέρχομαι	venir auprès, s'approcher de ; venir sur, survenir ; venir dans ; venir à travers, traverser, parcourir ; venir à la suite ou après ; venir de nouveau, revenir
εὐωχία	action de se régaler, de faire bonne chère ; abondance de provisions
θηρίον	bête ; petit animal, insecte
κνησμός	démangeaison, chatouillement
Λάχης	Lakhès
μαργαρίτης	perle ; plante d'Égypte
μετοίχομαι	aller avec, accompagner ; aller ailleurs ; aller vers, aller trouver, aborder
ὀνομαστικός	propre à donner un nom
πακτόω	ficher ou fixer solidement
πιμελή	graisse ; crème du lait
πρόβατον	ce qui marche en avant
προστρίβω	frotter contre ; user
Σιλανίων	Silaniôn, (h.)
στέρησις	privation, spoliation ; privation, négation
συναδικέω	commettre une injustice ou faire du mal avec ; faire du tort à, léser ou offenser en même temps
Ἅγιος	le Saint (dit de Dieu)
ἀγλάισμα	ornement
ἀρτεμής	sain et sauf
Ἀρχέλαος	Archelaus
βρῶσις	moi à
δολιχόσκιος	projeter une longue ombre;
Δορίσκος	Doriskos, (Romigik Đorískos)
εἰσαγγέλλω	entrer et annoncer
Ἀδείμαντος	Adeimantos, (h.)
ἀπαπαῖ	oh dieux ! hélas !
ἀποσῴζω	retirer sain et sauf ; se conserver sain et sauf
Ἀρχέδημος	Arkhédèmos, (h.)
αὐτανέψιος	cousin germain
βρῶμα	ce qu'on mange ; ce qui est mangé ou rongé ; action de dévorer
δεκαπλόος	décuple
διαφωνέω	être en dissonance, en désaccord ; manquer à l'appel, faire défaut, manquer
εἰσαφικνέομαι	arriver jusque dans ou jusqu'à ; arriver près de
ἐπιθυμία	désir ; objet désiré, objet de désir
ἴτης	qui marche en avant ; résolu, brave, hardi ; effronté, impudent
Λάχεσις	Lakhésis
ὀνομαστί	par son nom
περικλυτός	renommé alentour, illustre
πολέω	tourner, retourner (la terre avec la charrue) ; tourner autour de, rôder
προδιέρχομαι	parcourir ou traverser auparavant ; donner d'abord des explications sur
προστρέχω	courir vers
ῥινίον	petite lime ; sorte de collyre
συνίημι	envoyer ou lancer ensemble ou l'un contre l'autre ; faire attention à, comprendre
τεχνήεις	fait avec art, bien travaillé ; habile à travailler ; artificieux
φύσκος	gros intestin, d’où viande dont on le farcit
ὠχριάω	devenir ou être jaune ou pâle
βρῶμος	odeur infecte
διαφωνία	discordance, désaccord
δολιχός	long ; longuement
πρόβλημα	saillie (cap, promontoire, etc.) || ce qu'on a devant soi || ce qui est proposé
προστροπή	action de se tourner vers qqn en suppliant ; prière, supplication ; malédiction, imprécation
σκόροδον	ail
στέρνον	partie large et plate qui forme le devant de la poitrine, sternum
συνίστωρ	qui sait avec un autre, témoin
τριηραρχία	commandement d'une trirème ; obligation d'équiper une trirème à ses frais
Χερσονησίτης	habitant de la Chersonèse de Thrace
ψευδολογία	propos mensonger, fausse opinion
ὠχρός	d'un jaune pâle, pâle
ἀκρωτηριάζω	(tr.) couper les extrémités (nez, oreilles, pieds, mains) || (intr.) s'avancer comme un promontoire || (moy.) couper les éperons ou les ornements ; mutiler
ἀναγωγός	qui amène en haut, qui provoque l'expulsion de ; qui élève l'âme
ἀπαθής	(pass.) qui ne souffre pas ; (intr.) d'où la souffrance est absente
διαγανακτέω	être transporté d'indignation ; s'irriter, s'exacerber
Δορύλαος	Dorylaos
εἰσαγγελτικός	qui concerne les poursuites par εἰσαγγελία
ἐπιδακρύω	pleurer sur
κυνίζω	vivre en chien, en philosophe cynique
Λαβώτης	Labôtès, (homme)
λογάδες	blanc de l'œil ; œil
ναυσίπορος	fréquenté par les navires
περικόπτω	tailler tout autour || rogner ; mutiler ; dévaster alentour
ῥινόν	peau, cuir || bouclier
Σιληνός	Silènos (Silène)
στέρομαι	être privé de ; être dépouillé
σφόδρα	fortement, avec véhémence ; sévèrement, durement ; avec une précision rigoureuse (définir) ; très, fort, tout à fait
ἐπέτειος	annuel
ἐφαπτίς	sorte de manteau de soldat
καταβιβρώσκω	avaler, dévorer, engloutir
κνησμονή	démangeaison, chatouillement
κράδη	extrémité d'une branche d'arbre (ce qui se balance au vent) ; branche de figuier
κυνίδιον	petit chien
Λαβδακίδαι	les descendants de Labdakos, les Labdacides
ὀνομαστός	qu'on peut nommer ou prononcer ; renommé, célèbre
Πόλλης	Pollès, (roi des Odomantes)
προστρόπαιος	qui se tourne vers qqn en suppliant, suppliant ; qui concerne les supplications
Σιλανός	Silanos, (h.)
στέριφος	solide, ferme, dur ; stérile
συβώτης	gardeur de pourceaux, porcher
χλωρηίς	verdâtre ; jaunâtre, qui chante dans la verdure
Ἅγνων	Hagnôn, (h.)
ἀκρωτήριον	toute partie saillante ou supérieure
ἀμφίβληστρον	ce qu'on jette autour
ἀναγωγή	action d'emmener en haut, action de gagner le large ; restitution légale ; paiement de taxes, d'impôts
βρωμάομαι	braire
ἴτυς	tour, circonférence ; jantes formant le cercle d’une roue ; orbe d’un bouclier
καθίημι	faire descendre ; descendre (ou se lancer)
καταβιόω	vivre jusqu'au bout
κεραμικός	d'argile
κνησμώδης	qui provoque une démangeaison (act.) ; qui éprouve une démangeaison (pass.)
ὄμβριος	qui provient de pluie ; qui produit la pluie, pluvieux
