@Αἰάντειος	d'Ajax,	of Ajax
@Αἰαντίδης	de la tribu Æantide,	son of Ajax
@Αἰγίδιον	Chevrette,	kid
@Αἰγίλιψ	« l'escarpée » (î. d'Épire)	destitute even of goats
@Αἰγίπαν	Pan aux pieds de chèvre,	goat-Pan, goat-footed Pan
@Αἰγαίων	Ægæôn (Ægéon) :	the Aegaean sea
@Αἰγαῖος	d'Æges, Égée :	mount Ida
@Αἰγεῖον	see <lang="grc">Αἰγεῖος</grc>	temple of Aegeus
@Αἰγιαλός	Ægialos :	sea-shore, beach
@Αἰγικορεῖς	les Chevriers, 	goatherds
@Αἰγιναῖος	d'Égine,	of the Aeginetan School
@Αἰγυπτιακός	d'Égypte, égyptien,	of or for the Egyptians
@Αἰγυπτιώδης	comme un Égyptien,	Egyptian-like
@Αἰγυπτογενής	né en Égypte,	of Egyptian race
@Αἰγύπτιος	d'Ægyptos, 	in Egyptian style
@Αἰγᾶθεν	d'Æges,	from
@Αἰθέριος	Æthérios, (h.)	of
@Αἰθήρ	Æther :	ether, the heaven
@Αἰνόθεν	d'Ænos,	horror of horrors
@Αἰνόπαρις	le funeste Paris,	direful Paris, Paris the author of ill
@Αἰσχύλειος	d'Eschyle,	of or like Aeschylus
@Αἰσώπειος	d'Ésope, ésopique,	of Aesop
@Αἰτωλάρχης	premier magistrat étolien,	president of Aetolian League
@Αἰχμή	Ækhmè,	point of a spear
@Αἰών	Æôn,	aevum
@Αἴγιλος	Ægilos :	a herb of which goats are fond
@Αἴγλη	Æglè :	the light of the sun or moon
@Αἴθων	Æthôn :	fiery, burning
@Αἴσακος	Æsakos,	branch of myrtle or laurel
@Αἴσιμος	Æsimos, (h.)	appointed by the will of the gods, destined
@Αἴσιος	Æsios, (h.)	auspicious, opportune
@Αἵμων	Hæmon :	eager
@Αἶνος	Ænos :	tale, story
@Αἶσα	Æsa, (v.)	who dispenses to every one his lot or destiny
@Αὐγώ	Augô,	Daybeam
@Αὐλών	Aulôn :	hollow
@Αὐξησία	la déesse de la croissance,	the goddess of growth
@Αὐξώ	Auxô,	goddess of growth
@Αὐσονία	l'Ausonie,	Italy
@Αὐτομέλιννα	Mélinna en personne,	a very Melinna
@Αὐτοματία	la Déesse du hasard, le Hasard,	the goddess of chance
