TargetWord	LemmaWord	lsj (Liddell, Scott, Jones)
Αἰγίας	Αἰγίς	goatskin
Αἰγαῖαι	Αἰγαῖος	mount Ida
Αἰγιάλεια	Αἰγιάλειος	frequenting the shore
Αἰγιάλεια	αἰγιάλειος	frequenting the shore
Αἰθιόπισσα	Αἰθιοπίζω	to speak or be like an Ethiopian
Αἰνύρων χῶρος	χῶρος	a definite space, piece of ground, place
Αἰολεῖς	Αἰολεύς	of or like the Aeolians
Αἰσίων	αἴσιος	auspicious, opportune
Αἰσαγέης ὄρος	ὄρος	mountain, hill
Αἰσχριωνίη φυλή	φυλή	a race, tribe
Αἴθρα	Αἴθρη	clear sky
Αἴθρα	αἴθρη	clear sky
Αὐέντιον ὄρος	ὄρος	mountain, hill
Αὐαίνου λίθος	λίθος	stone
Αὐαίνου λίθος	αὐαίνω	dry
Αὐλίον	αὐλέω	play on the flute
Αὐλιάδες νύμφαι	Αὐλιάδες	protecting cattle-folds
Αὐλιάδες νύμφαι	νύμφη	young wife, bride
Αὐτοθαΐς	Αὐτοθαίς	Thais herself
Αὐτοθαΐς	αὐτοθαίς	Thais herself
Αὐτονόη	αὐτονοέω	think for oneself
Αὔγης	αὐγέω	to shine, glitter
Αὔξιμον	αὔξιμος	promoting growth
Αὔρας	αὔρα	breeze
Βάκχειον	Βάκχειος	of or belonging to Bacchus
Βάκχων	Βάκχος	Bacchus
Βάκχων	Βακχάω	to be in Bacchic frenzy, to rave
Βάπυρον ὄρος	ὄρος	mountain, hill
Βάσθης	βάζω	speak, say
Βάτων	βάτον	blackberry
Βάτων	βάτος1	bramble, Rubus ulmifolius
Βάτων	βάτος2	fish
Βάτων	βαίνω	walk, step
Βίας	βία	bodily strength, force
Βίας	βιάω	constrain
Βίτων	βίτος	tyre, Edict. Diocl.
Βαΐαι	βαία	nurse
Βαθεῖα	βαθύς	deep or high
Βακχέϐακχον ᾆσαι	ἀείδω	sing
Βακχεῖος	Βάκχειος	of or belonging to Bacchus
Βαλλίων	βάλλις	plant
Βαλληναῖον ὄρος	ὄρος	mountain, hill
Βασκάνου τάφος	τάφος1	funeral-rites
Βασκάνου τάφος	τάφος2	astonishment, amazement
Βασκάνου τάφος	βάσκανος	one who bewitches, sorcerer
Βατή	βατός	passable, accessible
Βατραχίων	βατράχιον	Ranunculus
Βηλίδες πύλαι	πύλη	one wing of a pair of double gates
Βιψανία παστάς	παστάς	porch in front of the house
Βιψανία παστάς	παστή	case, container
Βιώ	βιός	bow
Βοίων	βοάω	cry aloud, shout
Βολϐίτινον στόμα	στόμα	mouth
Βορέης	Βορέας	north wind
Βορρᾶς	Βορέας	north wind
Βορῆς	Βορέας	north wind
Βορῆς	βορά	food
Βορῆς	βορός	gluttonous
Βορῆς	βοράω	eat
Βουκέφαλοι	Βουκέφαλος	bull-headed
Βουκέφαλοι	βουκέφαλος	bull-headed
Βουκολικὸν στόμα	στόμα	mouth
Βουκολικὸν στόμα	βουκολικός	rustic, pastoral
Βουκόλια	βουκόλιον	herd of cattle
Βούτη	Βούτης	herdsman
Βούτη	βούτης	herdsman
Βοῦκος	βουκαῖος	cowherd
Βρέμουσα	βρέμω	roar
Βρέμων	βρέμω	roar
Βρετανίδες νῆσοι	νῆσος	island
Βρεττία	Βρέττιος	barbarous
Βρομία	Βρόμιος	sounding
Βρομία	βρόμιος	sounding
Βρυγηΐδες νῆσοι	νῆσος	island
Βρυσωνοθρασυμαχειοληψικέρματοι	Βρυσωνοθρασυμαχειοληψικέρματος	taking coin like Bryso and Thrasymachus
Βρόντης	βροντάω	thunder
Βρύουσα	βρύω	to be full to bursting
Βρύσων	βρύζω	griúti
Βρύχων	βρύκω	bite
Βυξεντῖνος οἶνος	οἶνος	wine
Βῆσα	βαίνω	walk, step
Γέλα	γελάω	laugh
Γέλας	γελάω	laugh
Γέλη	γελάω	laugh
Γέλων	γέλως	laughter
Γέλων	γελάω	laugh
Γέμων	γέμος	load
Γέμων	γέμω	to be full
Γήδειρα	Γάδειρα	a man of Cadiz
Γήρεια	γήρειον	thistledown
Γαίσων	γαῖσος	javelin
Γαδειρίδες πύλαι	πύλη	one wing of a pair of double gates
Γαδειραῖος πορθμός	πορθμός	ferry or place crossed by a ferry, strait, narrow sea
Γαζίτης οἶνος	οἶνος	wine
Γαισωνὶς λίμνη	λίμνη	pool of standing water
Γαλεῶται	γαλεώτης	gecko lizard
Γαλλαϊκὴ χώρη	χώρα	space or room in which a thing is
Γαλλαϊκὴ χώρη	χωρέω	make room for another, give way, withdraw
Γαυρανὸς οἶνος	οἶνος	wine
Γαύρανον ὄρος	ὄρος	mountain, hill
Γενεῖτα Μάνα	Μάνης	cup
Γενεῖτα Μάνα	μάνης	cup
Γερόντων λιμήν	Γέρων	old man
Γερόντων λιμήν	γέρων	old man
Γερόντων λιμήν	λιμήν	harbour
Γηρυονεύς	Γηρυόνης	a poem on Geryon
Γηρυών	Γηρυόνης	a poem on Geryon
Γλαυκά	γλαυκός	gleaming
Γλαύκων	Γλαῦκος	fish of grey colour
Γλαύκων	γλαύξ	the little owl, Athene noctua
Γλαύκων	γλαῦκος	fish of grey colour
Γλαύκων	γλαυκόω	dye blue-grey
Γονόεσσα	γονόεις	fruitful
Γοργολόφα	Γοργολόφας	he of the Gorgon-crest
Γοργολόφης	Γοργολόφας	he of the Gorgon-crest
Γοργωπὶς λίμνη	λίμνη	pool of standing water
Γοργόνα	Γοργώ	the Gorgon
Γοργόνωτος ἀσπίς	ἀσπίς	shield
Γοργόνωτος ἀσπίς	Γοργόνωτος	with the Gorgon on it
Γοργών	Γοργώ	the Gorgon
Γορθυαίων ὄρη	ὄρος	mountain, hill
Γορπιαῖος μήν	μείς	month
Γορπιαῖος μήν	μήν	verily, truly
Γραῖαι	Γραῖα	old woman
Γραῖαι	γραῖα	old woman
Γυμνήσιαι νῆσοι	νῆσος	island
Γυραί	γυρός	rounded, curved, crooked
Γυραίη πέτρη	πέτρα	rock
Γόμφοι	γόμφος	bolt
Δάλιος	Δήλιος	Delian
Δάμων	δῆμος	district, country, land
Δάνα	δάνος	gift, present
Δάοι	δάω	learn
Δάρης	δέρω	skin, flay
Δέρας	δειρή	neck, throat
Δήλια	Δήλιος	Delian
Δήλιον	Δήλιος	Delian
Δήμητρα	Δημήτηρ	Aus Lydien
Δήμων	Δῆμος	district, country, land
Δήμων	δῆμος	district, country, land
Δί	Ζεύς	Zeus
Δίδυμα	δίδυμος	double, twofold
Δίκαια	δίκαιος	observant of custom or rule; meet and right, fitting
Δίνων	δῖνος	whirling, rotation
Δίνων	δίνω	thresh out on the
Δίνων	δινόω	turn with a lathe
Δίων	δῖος	heavenly
Δίων	δέω1	bind, tie, fetter
Δίων	δίω	put to flight
Δίϊος	Δίιος	of Zeus
Δαίδαλα	Δαίδαλος	cunningly or curiously wrought
Δαίδαλα	δαίδαλος	cunningly or curiously wrought
Δαίδαλα	δαιδάλλω	work cunningly, embellish
Δαίσιος	δαῖσις	division of property
Δαμία	δήμιος	belonging to the people
Δαυλάντιον ἔθνος	ἔθνος	number of people living together, company, body of men
Δείνων	δεῖνα	such an one, so-and-so
Δείνων	δεινόω	make terrible: exaggerate
Δεινιάδας	δεινιάς	shoe called after Dinias
Δεκελέη	Δεκέλεια	a Decelean
Δημήτρια	Δημήτριος	of or belonging to Demeter
Δημήτριον	Δημήτριος	of or belonging to Demeter
Δημώ	δημός	fat
Δηρά	δηρός	long, too long
Δηϊάνειρα	Δηιάνειρα	destroying her spouse
Διάκρια	Διάκριοι	the Mountaineers
Διάλιος ἱερεύς	Διάλιος	flamen Dialis
Διάλιος ἱερεύς	ἱερεύς	priest, sacrificer, diviner
Διάρης	διαρρέω	flow through
Διδυμαῖον	Διδυμαῖος	their temple
Διδύμη	δίδυμος	double, twofold
Διογένεια	Διογένειον	the school of Diogenes
Διομένης	δίω	put to flight
Διομήδη	Διομήδης	Jove-counselled
Διομηῒς πύλη	πύλη	one wing of a pair of double gates
Διονυσιακῶς	Διονυσιακός	belonging to the Dionysia or to Dionysus
Διόσκουροι	Διόσκοροι	the sons of Zeus
Διώνα	Διώνη	Dione
Διώνυσος	Διόνυσος	a
Διώρης	διοράω	see through, see clearly
Διὸς ἱερόν	Ζεύς	Zeus
Διὸς ἱερόν	ἱερόν	holy place
Διὸς ἱερόν	ἱερός	filled with or manifesting divine power, supernatural
Δοίαντος πεδίον	πεδίον	plain
Δοίαντος πεδίον	πεδάω	bind with fetters
Δοιάντιον πεδίον	πεδίον	plain
Δοιάντιον πεδίον	πεδάω	bind with fetters
Δοκιμίτης λίθος	λίθος	stone
Δολιεῖς	δολίζω	adulterate
Δράκης	δέρκομαι	see clearly, see
Δράκιος	δράκος	eye
Δρίλων	δρῖλος	verpus
Δροσερά	δροσερός	dewy, watery
Δρυΐδαι	Δρυίδης	Druid
Δρυμόν	Δρυμός	copse, thicket
Δρυμόν	δρυμός	copse, thicket
Δρυὸς κεφαλαί	δρῦς	tree
Δρυὸς κεφαλαί	κεφαλή	head
Δρύας	δρῦς	tree
Δυναμένη	δύναμαι	to be able, strong enough
Δωδών	Δωδώνη	chatterbox
Δωρίων	δωρέω	give, present
Δωριῆς	Δωριεύς	Dorian, descendant of Dorus
Δωριῆς	Δωρίζω	imitate the Dorians in life, dialect
Δωριῆς	Δωριάζω	dress like a Dorian girl
Δόλοπες	Δόλοψ	lurker in ambush
Δύρας	ὀδύρομαι	lament, bewail
Δύσωρον	δύσωρος	unseasonable
Δώριον	δωρέω	give, present
Δῖοι	δῖος	heavenly
Δῖον	δῖος	heavenly
Εἰδυῖα	οἶδα	"see <span lang=""grc"">Εἴδω</span>"
Εἰλειθυίας πόλις	Εἰλείθυια	she that comes
Εἰλειθυίας πόλις	πόλις	city
Εἰρεσίαι	εἰρεσία	rowing, oarage
Εἰρηναῖον	εἰρηναῖος	peaceful
Εὐάνδρη	εὐανδρέω	abound in men
Εὐάνθη	εὐανθέω	to be flowery or blooming
Εὐάνθης	εὐανθέω	to be flowery or blooming
Εὐήθη	εὐήθης	good-hearted, simple-minded, guileless
Εὐαίμων	εὔαιμος	full-blooded
Εὐεργέται	Εὐεργέτης	benefactor
Εὐεργέται	εὐεργέτης	benefactor
Εὐθετίων	εὐθετέω	to be suitable, convenient
Εὐκλής	εὐκλεής	of good report, famous
Εὐκτήμων	ἐυκτήμων	wealthy
Εὐμάρης	εὐμαρέω	have abundance
Εὐμένης	Εὐμενέω	to be gracious
Εὐμένης	εὐμενέω	to be gracious
Εὐμήκιος	εὐμήκης	tall
Εὐναίη	εὐναῖος	in one's bed or couch
Εὐναίη	εὐνάω	lay or place in ambush
Εὐνόα	εὐνοέω	to be well-inclined or favourable
Εὐοδίας	εὐοδία	a good journey
Εὐπείθης	εὐπειθέω	to be disposed to obey
Εὐσθένης	εὐσθενέω	to be strong, healthy
Εὐτελίη	εὐτέλεια	having little to pay, cheapness
Εὐφημίας	εὐφημία	use of words of good omen
Εὐφορίων	εὐφορέω	bear well, be productive
Εὐφράντη	εὐφράντης	one who cheers
Εὐφόριον	εὐφορέω	bear well, be productive
Εὔα	εὔας	ovatio
Εὔκολλα	εὔκολλος	gluing well, sticky
Εὔμαχος	εὐμαχος	easy to fight against, assailable
Εὔριος	εὖρος	breadth, width
Εὔϊππος	Εὔιππος	delighting in horses
Εὔϊππος	εὔιππος	delighting in horses
Ζήνων	ζῆνος	made of spelt
Ζήτης	ζητέω	seek, seek for
Ζεφυρηῒς ἀκτή	ἀκτή	headland, foreland, promontory
Ζεφυρῖτις Ἀφροδίτη	Ἀφροδίτη	Aphrodite
Ζωπυρίων	ζωπύριον	bellows
Ζωπυρίων	ζωπυρέω	kindle into flame, cause to blaze up
Θάλης	θηλέω	to be full of, abound in
Θάλιος	θάλος	scion, child
Θάλλων	θάλλω	sprout, grow, thrive
Θάλπιος	θάλπος	warmth, heat
Θέρμων	θέρμος	lupine, Lupinus albus
Θέρμων	θέρμω	heat, make hot
Θέων	θέω	run
Θέων	θεάω	gaze at, behold
Θήρας	Θήρα	from Thera
Θήρας	θήρα	hunting of wild beasts, the chase
Θήρας	θηράω	hunt, chase
Θήρων	θηρίον	wild animal
Θήρων	θηράω	hunt, chase
Θαλάμαι	θαλάμη	lurkingplace, den, lair
Θαλίη	θαλία	abundance, good cheer
Θαλῆς	θάλλω	sprout, grow, thrive
Θαλῆς	θηλέω	to be full of, abound in
Θεαρίων	θεάριον	meeting-place of
Θεμίσων	θεμίζω	judge, punish
Θεμιστώ	θεμιστός	oracular
Θεράπναι	Θεράπνη	handmaid
Θεράπναι	θεράπνη	handmaid
Θερμά	θερμός	hot
Θερμαῖος κόλπος	κόλπος	bosom, lap
Θεσσαλίς	Θεσσαλός	shoe
Θεσσαλικῶς	Θεσσαλικός	chair or couch
Θεστόρειος μάντις	μάντις	diviner, seer, prophet
Θηραμένης	θηράω	hunt, chase
Θμουΐτης νομός	νομός	place of pasturage
Θοίνων	θοινάω	feast on, eat
Θοαί	θοός	quick, nimble
Θούριον	θουράω	rush or leap upon
Θρασέας	θρασύς	bold
Θρασίος	θρασύς	bold
Θρασυνία λίμνη	λίμνη	pool of standing water
Θρηΐκη	Θρᾴκη	from Thrace
Θρηϊκίη	Θρᾴκη	from Thrace
Θριάσιος	θρίασις	poetic rapture.
Θρινακίη νῆσος	νῆσος	island
Θρυόεσσα	θρυόεις	rushy
Θρᾳκίας λίθος	λίθος	stone
Θρᾷττα	Θρᾷσσα	Thracian slave-girl
Θρῄκη	Θρᾴκη	from Thrace
Θυέστα	Θυέστης	pestle
Θυέστα	θυέστης	pestle
Θυῖα	Θυία	odorous cedar, Juniperus foetidissima
Θυῖα	θυία	odorous cedar, Juniperus foetidissima
Θυῖα	θυῖον	resin
Θωμᾶς	θαυμάζω	wonder, marvel
Θόων	θοόω	make sharp or pointed
Θώρηξ	θώραξ	corslet
Θῶν	θέω	run
Κάλαμοι	Κάλαμος	reed
Κάλαμοι	κάλαμος	reed
Κάλαϊς	Κάλαις	precious stone of a greenish blue, turquoise
Κάλαϊς	κήλη	tumour
Κάλλιστος	καλός	beautiful
Κάλπιος αὐχήν	αὐχήν	neck, throat
Κάλχας	κάλχη	murex, purple limpet
Κάνη	κάνεον	basket of reed or cane
Κάρυαι	καρύα	nut-bearing tree
Κάσιον ὄρος	ὄρος	mountain, hill
Κάσιος	κάσις	brother
Κάτων	κάτος	following
Κέος	Κέως	Wiener Sitzb.
Κέρασσαι	κεράννυμι	mix, mingle
Κέρνη	κέρνας	priest who carries the
Κέρνη	κέρνος	earthen dish with small pots affixed for miscellaneous offerings
Κέρσικα νῆσος	νῆσος	island
Κήρυκες	κῆρυξ	herald, pursuivant
Κήτειοι	κήτειος	of sea monsters
Κίννας	κίννα	way barley, wall-barley, Hordeum murinum
Κίρκα	Κίρκη	bird
Κίρκα	κίρκη	bird
Κίρκας	Κίρκη	bird
Κίρκας	κίρκη	bird
Καίλιος λόφος	λόφος	back of the neck
Καίνων	καίνω	kill, slay
Καίνων	καινόω	make new, change
Καΰστριον πεδίον	πεδίον	plain
Καΰστριον πεδίον	Καύστριος	of or from the river Cayster
Καΰστριον πεδίον	πεδάω	bind with fetters
Καΰστριος	Καύστριος	of or from the river Cayster
Καθαρή	καθαρός	physically clean, spotless
Καιναί	καινός	new, fresh
Καινὸν φρούριον	φρούριον	fort, citadel
Καινὸν φρούριον	καινός	new, fresh
Καινὸν φρούριον	φρουρέω	keep watch or guard
Καλασίριες	καλάσιρις	a long Egyptian garment
Καλλίης	καλλίας	tame ape
Καλλίστη	καλός	beautiful
Καλλιόπεια	Καλλιόπη	Calliope, the beautiful-voiced
Καλλιῆς	καλλιάζω	to be a member of the
Καλλυντήρια	καλλυντήριος	of or for beautifying
Καλυδναῖαι νῆσοι	νῆσος	island
Καλὴ ἀκτή	ἀκτή	headland, foreland, promontory
Καλὴ ἀκτή	καλός	beautiful
Καμπύλινος ποταμός	ποταμός	river, stream
Καναχᾶς	καναχή	sharp sound
Καναχᾶς	καναχής	plashing
Καναχᾶς	καναχός	noisy
Κανθαρώλεθρον	κανθαρώλεθρος	death-to-beetles
Καπίων	κάπια	onions
Καπρέαι	καπράω	want the boar
Καρίων	καριόω	kill
Καρδίη	καρδία	heart
Καρμεντὶς πύλη	πύλη	one wing of a pair of double gates
Καρνεονῖκαι	Καρνεονίκης	victor in the Carnean games
Καρυάτιδες	Καρύαι	dance in honour of Artemis
Καρός	Κάρ	experimentum facere in corpore vili
Κασταναία	κάρυον	nut
Καστωλοῦ πεδίον	πεδίον	plain
Καστωλοῦ πεδίον	πεδάω	bind with fetters
Κατάνη	κατανέω	heap, pile up
Καταγέλα	καταγελάω	laugh, jeer at
Κατακεκαυμένη	κατακαίω	burn completely
Καυκάσιος	Καύκασος	Mt. Caucasus
Καυλιακὸν ὄρος	ὄρος	mountain, hill
Καύνιοι	Καύνιος	of or from Caunus
Καύνιος ἔρως	ἔρος1	love, desire
Καύνιος ἔρως	ἔρως	love
Καύνιος ἔρως	Καύνιος	of or from Caunus
Κεκροπία	Κέκροψ	Cecropian, Athenian
Κεκροπίδης	Κέκροψ	Cecropian, Athenian
Κεκρόπιος	Κέκροψ	Cecropian, Athenian
Κελάδων	Κέλαδος	a noise as of rushing waters
Κελάδων	κέλαδος	a noise as of rushing waters
Κελάδων	κελάδω	sounding
Κελαινή	κελαινός	black, dark
Κελαιναί	κελαινός	black, dark
Κελαινώ	κελαινός	black, dark
Κενταυρικῶς	Κενταυρικός	like a Centaur
Κεράμειος κόλπος	κόλπος	bosom, lap
Κεράμων	Κέραμος	potter's earth, potter's clay
Κεράμων	κέραμος	potter's earth, potter's clay
Κεράμων	κεραμόω	roof with tiles
Κεραμεῖς	κεραμεύς	potter
Κεραμικὸς κόλπος	κόλπος	bosom, lap
Κεραμικὸς κόλπος	κεραμικός	of or for pottery
Κεραμῶν ἀγορά	ἀγορά	assembly
Κεραμῶν ἀγορά	κεραμόω	roof with tiles
Κεραστίς	κεράστης	horned
Κεραύνια ὄρη	κεραύνιον	truffle, Tuber aestivum
Κεραύνια ὄρη	ὄρος	mountain, hill
Κεραύνια ὄρη	Κεραύνιος	of a thunderbolt
Κεραύνια ὄρη	κεραύνιος	of a thunderbolt
Κερκυραϊκός	Κέρκυρα	BMus.Cat.Coins Thessaly
Κερκώπων ἕδραι	Κέρκωψ	man-monkey
Κερκώπων ἕδραι	κέρκωψ	man-monkey
Κερκώπων ἕδραι	ἕδρα	sitting-place
Κερνεᾶτις νῆσος	νῆσος	island
Κερϐήσιον μέλος	μέλος	limb
Κεφάλων	κέφαλος	mullet
Κεῖος	Κέως	Wiener Sitzb.
Κηλοῦσα	κηλέω	charm, bewitch, beguile
Κηλοῦσα	κηλόω	have an abnormal delivery
Κηπίων	κηπίον	appendage
Κηφῆνες	κηφήν	drone
Κιλίκιος	Κίλιξ	a Cilician
Κιλικία	Κίλιξ	a Cilician
Κινάδων	Κίναδος	fox
Κινάδων	κίναδος	fox
Κινύρας	κινύρα	kinnor
Κινύρης	κινύρα	kinnor
Κινύρης	κινύρομαι	utter a plaintive sound, lament
Κισσία	Κίσσιος	of or from Cissia
Κισσῆς	Κισσεύς	the ivy-crowned
Κισσῆς	κισσάω	crave for strange food
Κιττός	Κισσός	ivy, Hedera Helix
Κιττός	κισσός	ivy, Hedera Helix
Κλέα	κλέος	rumour, report
Κλέων	κλέω	tell of, make famous, celebrate
Κλείσας	κλείω1	shut, close, bar
Κλείσας	κλῄζω1	make famous, celebrate in song
Κλεινή	κλεινός	famous, renowned
Κλεινώ	κλεινός	famous, renowned
Κλειτώ	Κλειτός	renowned, famous
Κλειτώ	κλειτός	renowned, famous
