Αἰάκης	Æakès, (h.)
Αἰήτης	Æètès
Αἰαίη	l'habitante d'Æa, Circé
Αἰακίδης	fils ou descendant d'Éaque
Αἰακός	Æakos (Éaque)
Αἰαντίς	la tribu attique Æantide (d'Ajax)
Αἰγίμιος	Ægimios
Αἰγίτιον	Ægition
Αἰγαί	Æges
Αἰγεΐδης	le fils d'Égée (Thésée)
Αἰγείδης	le fils d'Égée (Thésée)
Αἰγείρα	Ægeira (Égire, Égira, Éyira) (v.)
Αἰγεύς	Ægée (Égée)
Αἰγιάλεια	Ægialeia
Αἰγιάλευς	Ægialée, (h.) ; adj. Argien
Αἰγιαλεύς	Ægialée, (h.) ; adj. Argien
Αἰγικόρης	les Chevriers
Αἰγινήτης	Éginète, habitant ou originaire d'Égine
Αἰγινητικός	d'Égine
Αἰγιρόεσσα	Ægiroessa, (v.)
Αἰγιόν	Ægion, (v.)
Αἰγόσθενα	Ægosthénes (auj. Pórto Yermenó)
Αἰείμνηστος	éternellement mémorable
Αἰθαλίδης	Æthalidès, (h.)
Αἰθιοπία	d'Éthiopie, éthiopien
Αἰθιοπίς	d'Éthiopie, éthiopienne
Αἰθιοπικός	d'Éthiopie
Αἰθιόπιος	d'Éthiopie, éthiopien
Αἰθούσα	portique ou galerie sur la cour
Αἰμίλιος	Æmĭlius, (h. rom.)
Αἰμιλιανός	Émilien
Αἰνήτη	Ænètè
Αἰνείας	Énée
Αἰνεσίδημος	Ænésidèmos
Αἰνησίδημος	Ænèsidèmos
Αἰνιάν	d'Ænia
Αἰολίδης	fils d'Éole (Sisyphe) ; descendant d'Éole
Αἰολίς	d'Éolie, éolienne
Αἰολικός	d'Éolie, éolien
Αἰπύ	Æpy, « l'Escarpée », (v.)
Αἰπύτιος	d'Æpytos
Αἰσίων	Æsiôn, (h.)
Αἰσιμίδης	Æsimidès
Αἰσυήτης	Æsyètès, (h.)
Αἰσχίνης	Eschine
Αἰσχινάδης	Æskhinadès, (h.)
Αἰσχρίων	Æskhriôn
Αἰσχυλίδης	Æskhylidès
Αἰσχύλος	Æskhylos (Eschyle)
Αἰτωλία	Étolie
Αἰτωλίς	d'Étolie, étolien
Αἰτωλικός	d'Étolie, étolien
Αἰτωλός	d'Étolie, étolien
Αἰτώλιος	d'Étolie, étolien
Αἰόλιος	d'Éolide, éolien ; l'î. d'Éole (Strongyle, Stromboli ; Lipara)
Αἱμονίδης	le fils d'Hæmôn
Αἴακος	Æakos (Éaque)
Αἴας	Ajax, Ajax
Αἴγεστα	Ægesta (Égeste, Ségeste,)
Αἴγη	Ægè, (v.)
Αἴγιλα	Ægilia (auj. Marcopoulo de Mésogée)
Αἴγιον	Ægion, (v.)
Αἴγισθος	Ægisthos (Égisthe)
Αἴθη	Æthè, de feu ou bai-brun
Αἴνητος	loué, louable
Αἴνιος	Ænios, (h.) ; d'Ænos
Αἴολος	Æolos (Éole)
Αἴπεια	Æpeia
Αἴπυτος	Æpytos
Αἴσηπος	Æsèpos
Αἴσυμνος	Æsymnos, (h.)
Αἴσων	Æsôn
Αἴσωπος	Æsôpos (Ésope)
Αἴτνη	le mt Etna ; Etna (Catane, S. Maria di Licodia) (v.)
Αἵδης	invisible ; qui ne voit pas
Αἶα	Æa
Αἷμος	Hæmos
Αὐγείας	Augéas ou Augias, (h.)
Αὐγειαί	Augeies
Αὐγηϊάδης	fils d'Augias
Αὐγουστάλιος	préfet impérial
Αὐγουστεῖον	temple d'Auguste
Αὐλίς	Aulis
Αὐλώνιος	Asklèpios d'Aulôn
Αὐσονίς	d'Ausonie
Αὐσχίσαι	les Auskhises
Αὐσόνιοι	&gt; Αὔσονες
Αὐσόνιος	d'Ausonie, Ausonien
Αὐτεσίων	Autésiôn, (h.)
Αὐτοκράτης	Autokratès, (h.)
Αὐτομέδων	Automédon
Αὐτομένης	Automénès, (h.)
Αὐτονόη	Autonoè
Αὐτοφραδάτης	Autophradatès
Αὐτοχαρίδας	Autokharidas
Αὐτόλυκος	Autolykos
Αὐτόφονος	Autophonos, (h.)
Αὐχάται	les Aukhates
Αὔασις	Oasis, (v.)
Αὔγη	lumière éclatante
Αὔγιλα	Augiles
Αὔλισκος	petite flûte, pipeau ; petit tuyau
Αὔσων	Ausôn, (h.) ; d'Ausonie
Αὖλος	transcr. du n. rom. Aulus
Βάβριος	Babrias ou Babrios (Babrius)
Βάβυς	Babys
Βάδρης	Badrès
Βάθυλλος	Bathyllos, (h.)
Βάκις	Bakis
Βάκτριος	de Bactres
Βάκχιος	qui concerne Bacchus, de Bacchus
Βάκχις	Bakkhis
Βάκχων	Bakkhôn, (h.)
Βάλακρος	???? Renvoi sans Issue ????
Βάλιος	moucheté, tacheté ; rapide
Βάσιλις	Basilis, (h.)
Βάτων	Batôn
Βέβρυκες	les Bébrykes
Βένδις	Bendis
Βίας	Bias
Βίστονες	les Bistones
Βίτυς	Bitys
Βίτων	Biton, (h.)
Βίων	Bion (h.)
Βαίτων	Bætôn, (h.)
Βαβυλωνίς	de Babylone ou de Babylonie
Βαβυλωνιακός	de Babylonie ou de Babylone
Βαβυλώνιοι	les Babyloniens
Βαβυλώνιος	de Babylone ou de Babylonie
Βαθυκλέης	à la gloire profonde, immense
Βακχίδης	Bakkhidès, fils ou descendant de Bacchus, (h.)
Βακχίς	Bakkhis, (f.)
Βακχείος	qui concerne Bacchus, de Bacchus ; animé de transports bachiques
Βακχειακός	bacchiaque, qui concerne le pied bacchius
Βακχεύς	&gt; Βάκχος ; prêtre de Bacchus, bacchant
Βακχεύτωρ	qui se livre à des transports bachiques ; de bacchant, bachique
Βακχεῖα	fête de Bacchus ; fureur bachique, transport
Βακχεῖος	qui concerne Bacchus, de Bacchus ; animé de transports bachiques
Βακχιάδαι	les Bakkhiades ou descendants de Bakkhis
Βακχιάζω	animer d'un transport (de délire, d'ivresse, etc.)
Βακχιάς	de Bacchus
Βακχιακός	qui concerne Bacchus, de Bacchus
Βακχικός	qui concerne Bacchus, de Bacchus ; animé d'un transport (de délire, d'ivresse, etc.)
Βακχιώτης	qui se livre à des transports bachiques ; de bacchant, bachique
Βακχυλίδης	Bakkhylidès, (Bacchylide)
Βαλίος	Balios
Βαρθολομαῖος	Bartholomée
Βαρνάβας	Barnabas
Βαρσίνη	Barsinè
Βασιληίδης	Basileidès, (h.)
Βασσάκης	Bassakès
Βασσαρεύς	bacchant, vêtu d'une peau de renard
Βατίεια	Batieia
Βαττιάδης	descendant de Battos
Βαυκίς	Baukis (Baucis) (f.)
Βαῖος	Bæos, (h.)
Βαῖτις	le Bétis (auj. Guadalquivir), (fl.)
Βαῦκις	Baukis (Baucis) (f.)
Βδελυκλέων	Bdélykléôn (qui déteste Kléôn) (h.)
Βελλεροφόντης	Bellérophon (meurtrier de Belléros, roi de Corinthe)
Βενδίδεια	fête de Bendis
Βενδίδειον	temple de Bendis
Βεροία	Bérœa
Βερόη	Béroè
Βηρωσός	Bérose
Βιάνωρ	Bianor
Βιθυνίς	de Bithynie
Βισάλτης	Bisaltès, (h.)
Βισάνθη	Bisanthè (auj. Tekirdağ) (v.)
Βλέπυρος	Blépyros, (h.)
Βλαῖσος	qui a les pieds ou les pattes tournés en dehors ; retourné, contourné
Βλεπαῖος	Blépæos, (h.)
Βλεψίδημος	Blepsidèmos
Βοάγριος	Boagrios, (fl.)
Βοίβη	Bœbè
