ἄατος1	ἆτος	insatiable de, 		15
Ἀϐυδοκόμης	Ἀϐυδηνοκόμης	Abydokomès, sobriquet des sycophantes et des vauriens,		54
Ἀγαθοδαιμονιασταί	Ἀγαθοδαιμονισταί	litt. « dévots au bon génie », c. à d. petits buveurs, parce qu’ils ne faisaient que goûter au vin qui était consacré au dieu,		126
ἀγαθοεργία	ἀγαθουργία	action de faire le bien ou du bien, bienfait		44
Ἀγαμεμνόνειος	Ἀγαμεμνόνεος, Ἀγαμεμνόνιος	d’Agamemnon		11
ἀγανόρειος	ἀγανόρεος	] de héros		10
ἀγάω	ἀγάομαι	admirer, s'étonner / envier		27
ἀγγούριον	ἄγγουρον	concombre		9
ἄγε	ἄγετε	interj. allons ! eh bien ! voyons ! avec une particule, ἄγε δή,		63
ἀγένεια	ἀγέννεια	naissance obscure		17
ἀγηνορία	ἀγηνορίη	bravoure, courage, héroïsme / fierté		36
ἀγήραος	ἀγήρως	qui ne vieillit pas, toujours jeune / qui ne peut vieillir, impérissable (gloire, bienfait, etc.)		97
Ἀγίας	Ἁγίας	Agias ou Hagias, h.		19
ἄγκοινα	ἀγκοίνη	bras recourbé, au pl. / toute chose arrondie ou recourbée qui enveloppe ou enserre		82
ἀγκτηριάζω	ἀγκτηρίζω	rapprocher les lèvres d'une plaie avec un ἀγκτήρ,		49
ἀγλωσσία	ἀγλωττία	défaut d'éloquence		18
ἄγλωσσος	ἄγλωττος	sans langue / sans voix, muet / inhabile à parler / qui parle un langage barbare		80
ἄγνινος	ἄγνιος	d'agnus-castus		14
ἄγος	ἅγος	ce qui doit être expié / expiation / respect des dieux, crainte religieuse		74
ἀγροϐάτης	ἀγροϐάτας	qui traverse les champs		23
ἀγροῖκος	ἄγροικος	qui vit à la campagne, rustique, rural / non obtenu par la culture, en parl. de fruits, / inculte (pays)		104
ἀγροτέρα1	ἀγρότειρα	champêtre		9
ἀγύναικος	ἀγύναιξ, ἀγύναιος, ἄγυνος	] sans femme, non marié		23
ἀδαῖος	ἄδαιος	abondant		8
ἀδήν	ἁδήν	(ὁ ou ἡ) glande		15
ἀδικοπραγής	ἀδικοπρηγής	qui fait une action injuste ou nuisible		39
ἁδινός	ἀδινός	abondant, dru, serré / fig. serré, d'où ferme, fort		51
ἄδμωνες	ἄδμωες	sorte de soles,		15
ἀδορύληπτος	ἀδορίληπτος	qui n'est pas ou ne peut pas être pris à la pointe de la lance, invincible		74
ἅδος	ἄδος	satiété, dégoût		15
Ἁδριανός	Ἀδριανός	lat. Hadriānus ou Adriānus, Hadrien ou Adrien, empereur romain,		63
Ἀερία	Ἠερίη	Èériè, f.		9
ἀέριος	ἠέριος	aérien, d'où / p. anal. semblable à l'air, d'où / (ἀήρ, vapeur) brumeux, nébuleux		81
ἀεροδίνης	ἠεροδίνης	qui tournoie ou tourne dans les airs		36
ἀεροειδής	ἠεροειδής	aérien, aériforme / brumeux, vaporeux, nébuleux / qui se perd dans les airs, indistinct, confus		95
ἀερόεις	ἠερόεις	brumeux, sombre / sombre, en gén. / p. ext. livide, en parl. d'un malade,		73
ἀερομήκης	ἠερομήκης	vaste (litt. long) comme l'air, c. à d. aussi haut que le ciel		62
ἀερόμικτος	ἠερόμικτος	qui se mêle dans les airs		25
ἀερόμορφος	ἠερόμορφος	qui a l'aspect de l'air, semblable à l'air		42
ἀερόπλαγκτος	ἠερόπλαγκτος	qui erre à travers les airs		27
ἀέροπος	ἠέροπος	au regard sombre, ép. d'un oiseau,		34
ἀεροφαής	ἠεροφαής	qui brille dans l'air ou dans le ciel		37
ἀεροφοῖτις	ἠεροφοῖτις	qui habite les ténèbres (Érinys) / qui traverse les airs		56
ἀερόφωνος	ἠερόφωνος	qui résonne dans les airs, sonore		33
Ἄζωτος	Ἀζωτός	Azot (auj. Ashdod) v. de Palestine,		35
