ἁ	> ἅπας	
ἁ	> ἡ	
ἅ	> ἥ	
ᾇ	> ᾗ	
ἀάπλετος	> ἄπλετος	des : ος, ον, 
ἀάσθην	> ἀάω	
ἀάσπετος	> ἄσπετος	des : ος, ον, 
ἀάσχετος	> ἄσχετος	des : ος, ον, 
ἄαται	> ἄω	
ἀᾶται	> ἀάω 1	
Ἀάτη	> Ἄτη	gens : ης (ἡ) 
3 ἄατος	> ἄητος 1	des : ος, ον 
ἅϐα	> ἥϐη	
Ἄϐα	> Ἄϐαι	
ἀϐακίζω	> ἀϐακέω	
Ἀϐαντιάς	> Ἀϐαντίς	gens : άδος (ἡ) 
Ἀϐαρνιάς	> Ἀϐαρνίς	gens : άδος (ἡ) 
ἁϐατάς	> ἡϐητής	
ἀϐελτηρία	> ἀϐελτερία	
ἀϐίοτος	> ἀϐίωτος	des : ος, ον, 
ἀϐλαϐέως	> ἀϐλαϐῶς	
ἀϐλαϐίη	> ἀϐλάϐεια	
ἄϐλαπτος	> ἀϐλαϐής	des : ος, ον, 
ἀϐλάπτως	> ἀϐλαϐῶς	adv. 
ἀϐόατος	> ἀϐόητος	
ἀϐόηθος	> ἀϐοήθητος	des : ος, ον, 
ἀϐουλί	> ἀϐουλήτως	adv. 
ἁϐροσύνη	> ἁϐρότης	gens : ης (ἡ) 
ἁϐροχαίτης	> ἁϐροκόμης	gens : ου, adj. m. 
Ἀϐυδηνοκόμης	> Ἀϐυδοκόμης	
ἄγα	> ἄγη	
ἀγά	> ἀγή	
ἀγάασθαι	> ἀγάομαι	
Ἀγαϐάτανα	> Ἀγϐάτανα	gens : ων (τὰ) 
ἄγαγον	> ἄγω	
ἀγάθεος	> ἠγάθεος	
ἀγαθουργέω	> ἀγαθοεργέω	
ἀγακλήεις	> ἀγακλεής	des : ήεσσα, ῆεν 
ἀγακληεῖς	> ἀγακλεής	
ἀγαλλίασις	> ἀγαλλίαμα	gens : εως (ἡ) 
ἀγαλματοποιητική	> ἀγαλματοποιΐα	gens : ῆς (ἡ) 
ἀγαλματουργική	> ἀγαλματουργία	gens : ῆς (ἡ) 
ἀγάμητος	> ἄγαμος	des : ος, ον 
ἀγανακτικός	> ἀγανακτητικός	des : ή, όν 
ἀγάνωρ	> ἀγήνωρ	
ἀγάομαι	> ἀγάω	
ἀγαπατός	> ἀγαπητός	
ἀγαπησμός	> ἀγάπησις	gens : οῦ (ὁ) 
ἀγάσυλλον	> ἀμμωνιακόν	gens : ου (τὸ) 
ἀγασώς	> ἀγαθός	
ἀγατός	> ἀγαστός	
ἀγγαρήϊος	> ἄγγαρος 1	gens : ου (ὁ) 
ἀγγελίη	> ἀγγελία	
ἀγγελιηφόρος	> ἀγγελιαφόρος	
ἀγγελτήρ	> ἄγγελος	gens : ῆρος (ὁ) 
ἀγγέλτρια	> ἄγγελος	gens : ας (ἡ) 
ἀγγήϊον	> ἀγγεῖον	
ἄγε	> ἤγε	
ἆγε	> ἄγω	
ἀγελαδόν	> ἀγεληδόν	
ἀγέλαρχος	> ἀγελάρχης	gens : ου (ὁ) 
Ἀγέλεως	> Ἀγέλαος	
ἀγεληδά	> ἀγεληδόν	adv. 
ἀγέληφι	> ἀγέλη	
ἀγελοκομικός	> ἀγελαιοκομικός	
Ἀγελόχεια	> Ἡγελόχεια	
ἀγέμεν	> ἄγω	
ἀγεμόνευμα	> *ἡγεμόνευμα	
ἁγεμονεύω	> ἡγεμονεύω	
ἁγεμών	> ἡγεμών	
ἄγεν	> ἄγνυμι	
ἀγεννάτω	> ἀγέννητος	
ἀγεννία	> ἀγένεια	gens : ας (ἡ) 
ἁγέομαι	> ἡγέομαι	
ἀγερέσθαι	> ἀγείρω	
ἀγερμοσύνη	> ἄγερσις	gens : ης (ἡ) 
ἀγέρομαι	> ἀγείρομαι	
ἀγέροντο	> ἀγείρω	
ἀγέροχος	> ἀγέρωχος	des : ος, ον 
ἀγεσίλας	> ἀγησίλαος	
Ἀγεσίλας	> Ἀγησίλαος	
ἄγεσκον	> ἄγω	
ἁγέτας	> ἡγέτης	
ἁγέτις	> *ἡγέτις	
ἄγη	> ἄγνυμι	
ἀγηγέραται	> ἀγείρω	
ἅγημαι	> ἡγέομαι	
ἄγην	> ἄγω	
ἀγηνορέων	> ἀγήνωρ	
ἀγήοχα	> ἄγω.	
ἀγήραντος	> ἀγήρως	des : ος, ον, 
ἀγήρως	> ἀγήραος	
ἁγητήρ	> ἡγητήρ	
ἁγήτωρ	> ἡγήτωρ	
ἀγκ	> ἀγκεῖσθαι	
2 ἄγκαθεν	> ἀνέκαθεν	
ἀγκαλέω	> ἀνακαλέω	
ἄγκειται	> ἀνάκειμαι	
ἀγκιστρώδης	> ἀγκιστροειδής	des : ης, ες, 
ἀγκλ	> ἀνακλ-	
ἀγκλίνω	> ἀνακλίνω	
ἀγκομίζω	> ἀνακομίζω	
ἀγκονίω	> *ἀνακονίω	
ἀγκρεμάννυμι	> ἀνακρεμάννυμι	
ἄγκρισις	> ἀνάκρισις	
ἀγκροτέω	> ἀνακροτέω	
ἀγκρούομαι	> ἀνακρούομαι	
ἀγκυλόεις	> ἀγκύλος	des : όεσσα, όεν 
ἀγκυλόμητις	> ἀγκυλομήτης	gens : ιος (ὁ, ἡ) 
ἀγκυρηϐόλιον	> ἀγκυροϐόλιον	gens : ου (τὸ) 
ἀγλαΐη	> ἀγλαΐα, Ἀγλαΐα	
ἄγλαυρος	> ἀγλαός	des : ος, ον, 
ἀγλαῶπις	> ἀγλαώψ	gens : ιδος, adj. f. 
ἀγλυκής	> ἀγλευκής	des : ής, ές 
ἄγναφος	> ἄγναπτος	des : ος, ον 
ἀγνοιῇσι	> ἀγνοέω	
ἀγνωμονεύω	> ἀγνωμονέω	
ἀγνώσασκε	> ἀγνοέω	
ἀγνώσσω	> ἀγνοέω	
ἀγνωτίδια	> μύλλοι	gens : ων (τὰ) 
ἀγξηραίνω	> ἀναξηραίνω	
ἆγον	> ἄγω	
ἄγοντι	> ἄγω	
ἀγοράασθε	> ἀγοράομαι	
ἀγοράσδω	> ἀγοράζω	
ἀγορασία	> ἀγόρασις	gens : ας (ἡ) 
ἀγορή	> ἀγορά	
ἄγραδε	> ἀγρόνδε	adv. 
Ἄγραι	> Ἄγρα	
ἀγραυλής	> ἄγραυλος	des : ής, ές, 
ἄγρει	> ἀγρέω	
ἀγρευτάν	> ἀγρευτής	
ἄγρη	> ἄγρα	
ἀγριηνός	> ἄγριος	des : ή, όν, 
ἀγριόεις	> ἄγριος	des : όεσσα, όεν, 
ἀγριόφυλλον	> πευκέδανος	gens : ου (τὸ) 
ἀγρόμενος	> ἀγείρω	
ἀγρώτειρα	> ἀγρώτης	gens : ας (ἡ) 
ἀγυρτήρ	> ἀγύρτης	gens : ῆρος (ὁ) 
ἀγχάζω	> ἀναχάζω	
ἀγχαλάω	> ἀναχαλάω	
ἀγχάσκω	> ἀναχάσκω	
ἀγχιμαχητής	> ἀγχέμαχος	gens : οῦ (ὁ) 
ἀγχίπαλος	> ἀγχέμαχος	des : ος, ον 
ἀγχίπτολις	> ἀγχίπολις	gens : εως (ὁ, ἡ) 
ἄγχιστα	> ἄγχιστος	
ἀγχιστεῖον	> ἀγχιστεία	gens : ου (τὸ) 
ἀγχίφρων	> ἀγχίνοος	des : ων, ον, gens : ονος, 
ἀγχορεύω	> ἀναχορεύω	
ἀγχότατα	> ἀγχοῦ	
ἀγώνισις	> ἀγωνισμός	gens : εως (ἡ) 
ἀγωνοθήκη	> ἀγωνοθεσία	gens : ης (ἡ) 
ἄγωνος	> ἀγών	gens : ου (ὁ) 
ἄδαν	> ἅδην	
ἀδαξάω	> ἀδάξομαι	
ἄδαρκος	> ἀδάρκης	gens : ου (ὁ) 
ᾅδας	> Ἅιδης	
ἀδδεής	> ἀδεής	
ἀδδηκότες	> ἀδέω	
ἄδδην	> ἅδην	
ἀδδήσειε	> ἀδέω	
ἅδε	> ἥδε	
ἁδέα	> ἡδεῖα	
ἀδείη	> ἄδεια	
ἀδειής	> ἀδεής	
ἀδελφεά	> ἀδελφή	des : -εή, -ειή, 
ἀδελφειός	> ἀδελφός	
ἀδελφεοκτόνος	> ἀδελφοκτόνος	des : ος, ον, 
ἀδελφεός	> ἀδελφός	
ἀδελφία	> ἀδελφή	
ἀδελφιδός	> ἐραστής	gens : οῦ (ὁ) 
ἀδελφιδοῦς	> ἀδελφιδεός	
ἀδένδρεος	> ἄδενδρος	des : ος, ον, 
