Word	Count	Rate (per 10000)
ὁ	667527	1261.096
καί	270349	510.745
δέ	183358	346.401
εἰμί	99937	188.802
αὐτός	86226	162.899
οὗτος	77407	146.238
μέν	65887	124.474
ὅς	51133	96.601
οὐ	50392	95.201
τε	48321	91.288
ἐν	47378	89.507
γάρ	46756	88.332
ἐγώ	46498	87.844
εἰς	44362	83.809
τις	38113	72.003
λέγω	37532	70.906
πρός	34807	65.758
ἐπί	33300	62.911
ὡς	32633	61.650
σύ	31700	59.888
ἀλλά	29157	55.084
πολύς	29149	55.068
ΑΒΓ	28682	54.186
πᾶς	27780	52.482
ἤ	27681	52.295
ἔχω	27635	52.208
κατά	27631	52.201
γίγνομαι	27121	51.237
ἄν	26974	50.959
ἐκ	26543	50.145
περί	26278	49.645
μή	25467	48.112
ἄλλος	24198	45.715
εἰ	20265	38.285
ποιέω	20040	37.860
διά	19928	37.648
ὑπό	17418	32.906
ὅτι2	17343	32.764
φημί	17222	32.536
πόλις	16847	31.827
οὖν	16325	30.841
δή	15115	28.555
ἀπό	14642	27.662
παρά	14325	27.063
μετά	13691	25.865
γε	13570	25.637
τίς	13567	25.631
ἑαυτοῦ	13430	25.372
ἀνήρ	13043	24.641
μέγας	12819	24.218
οὐδείς	12657	23.912
ἐκεῖνος	12571	23.749
οὐδέ	12234	23.113
οὕτως	11817	22.325
ὅδε	11702	22.107
λόγος	11665	22.038
θεός	11318	21.382
ἐάν	11181	21.123
ὦ	10701	20.216
δοκέω	9888	18.680
ἐπεί	9867	18.641
νῦν	9723	18.369
τοιοῦτος	9549	18.040
οὔτε	9428	17.811
ὁράω	9334	17.634
δεῖ	9078	17.150
ἄρα	9033	17.065
πρῶτος	8996	16.995
λαμβάνω	8721	16.476
ἔτι	8034	15.178
εἷς	7864	14.857
δίδωμι	7857	14.843
ὅσος	7740	14.622
ἄνθρωπος	7738	14.619
καλός	7713	14.571
βασιλεύς	7653	14.458
μόνος	7227	13.653
παῖς	7126	13.462
οἶδα	7057	13.332
ἕτερος	6988	13.202
κακός	6979	13.185
βούλομαι	6885	13.007
ἅπας	6722	12.699
ὥστε	6632	12.529
οἷος	6551	12.376
ἕκαστος	6548	12.371
ἴσος	6273	11.851
Ἀθηναῖος	6248	11.804
φίλος	6170	11.656
καλέω	5949	11.239
ἔρχομαι	5894	11.135
ἀγαθός	5893	11.133
ἀρχή	5878	11.105
δύναμαι	5839	11.031
μᾶλλον	5808	10.973
πατήρ	5775	10.910
πράσσω	5691	10.751
νόμος	5623	10.623
ἤδη	5500	10.391
ναῦς	5381	10.166
ἀκούω	5325	10.060
δύναμις	5316	10.043
τότε	5305	10.022
πόλεμος	5266	9.949
μάλιστα	5265	9.947
χρόνος	5250	9.918
γυνή	5185	9.796
γῆ	5157	9.743
μηδείς	5134	9.699
ὑπέρ	4996	9.438
δίκαιος	4950	9.352
σφεῖς	4947	9.346
φέρω	4924	9.302
δύο	4905	9.267
ὥσπερ	4860	9.182
ποτε	4858	9.178
ἄγω	4836	9.136
ἔργον	4774	9.019
οἴομαι	4753	8.979
ἄρχω	4731	8.938
ἡμέρα	4618	8.724
χράομαι	4582	8.656
φαίνω	4571	8.636
ἵνα	4546	8.588
πρότερος	4526	8.551
Ζεύς	4508	8.517
πείθω	4329	8.178
πρᾶγμα	4310	8.142
ἅμα	4299	8.122
ἐθέλω	4237	8.005
τυγχάνω	4192	7.920
πῶς	4178	7.893
πάρειμι	4157	7.853
Ῥωμαῖος	4103	7.751
χώρα	4081	7.710
ἀλλήλων	4079	7.706
ὅμοιος	4045	7.642
μέρος	4045	7.642
ἐμός	4036	7.625
ἀποθνῄσκω	3964	7.489
μήν	3940	7.443
πολέμιος	3877	7.324
μέλλω	3875	7.321
τίθημι	3862	7.296
χείρ	3857	7.287
