τὸ	Ἀϐδηριτικόν	 sottise, niaiserie	Ἀϐδηριτικός	des : ή, όν	
adv.	ἀϐλεμές	 mollement	ἀϐλεμής	des : ής, ές,	adv. 
τὸ	ἁϐροδίαιτον	 vie molle et efféminée	ἁϐροδίαιτος	des : ος, ον,	
ἡ	Ἀϐυδηνή	 territoire d'Abydos	Ἀϐυδηνός	des : ή, όν	
ἡ	ἄϐυσσος	 abîme sans fond	ἄϐυσσος	des : ος, ον,	
οἱ	Ἀγαθοεργοί	 nom des cinq vétérans de Sparte les plus âgés et les plus renommés	ἀγαθοεργός	des : ός, όν	
οἱ	Ἀγηνορίδαι	 les Thébains	Ἀγηνορίδης	gens : ου	(ὁ) 
οἱ	Ἀγησίλαοι	 les hommes comme Agésilas	Ἀγησίλαος	gens : ου	(ὁ) 
τὸ	ἀγκιστρευτικός	 pêche à l'hameçon	ἀγκιστρευτικός	des : ή, όν,	
τὸ	ἀγκυλητόν	 javelot, javeline	ἀγκυλητός	des : ή, όν	
οἱ	ἀγοραῖοι	 les petits marchands	ἀγοραῖος	des : ος, ον	
τὸ	ἀγοραῖον	 le quartier des marchés	ἀγοραῖος	des : ος, ον	
τὰ	ἀγοραῖα	 les affaires qui se traitent au marché (achats et ventes)	ἀγοραῖος	des : ος, ον	
ἡ	ἀγοραστική	 le commerce.	ἀγοραστικός	des : ή, όν	
τὰ	Ἀγριώνια	 fête de Dionysos Agriônios	Ἀγριώνιος	gens : ου	(ὁ) 
ὁ	ἀγρότερος	 homme des champs, paysan	ἀγρότερος	des : α, ον,	
adv.	ἀγχίμολον	 tout auprès de	ἀγχίμολος	des : ος, ον	adv. 
adv.	ἀγχώμαλα	 à chances presque égales	ἀγχώμαλος	des : ος, ον	adv. 
τὸ	ἀγωνιστήριος	 emplacement pour le combat	ἀγωνιστήριος	des : α, ον	
τὸ	ἀδολεσχικόν	 bavardage.	ἀδολεσχικός	des : ή, όν	
ἡ	Ἀδωναῖα	 l'amante d'Adonis (Aphroditè)	Ἀδωναῖος	des : α, ον	
ὁ	Ἀδώνιος	 vers adonique (‒ ⏑ ⏑ ‒ ‒)	2 Ἀδώνιος	des : ος, ον	
τὸ	Ἀδώνιον	 sanctuaire d'Adonis	2 Ἀδώνιος	des : ος, ον	
οἱ	Ἀδώνιοι	 les dieux honorés du même culte qu'Adonis	2 Ἀδώνιος	des : ος, ον	
τὰ	Ἀδώνια	 fêtes d'Adonis	2 Ἀδώνιος	des : ος, ον	
τὸ	ἀείζωον	 plante vivace	ἀείζωος	des : ος, ον,	
οἱ	Ἀθηναῖοι	 Athéniens	Ἀθηναῖος	des : α, ον	
τὸ	ἁθρόον	 les forces réunies	ἀθρόος	des : όα, όον	adv. 
adv.	ἁθρόον	 ensemble	ἀθρόος	des : όα, όον	adv. 
ἡ	Αἰαίη	 l'habitante d'Æa, Circé	Αἰαῖος	des : α, ον,	
ὁ	Αἰάκειος	 > Αἰακίδης	Αἰάκειος	des : ος, ον	
τὰ	Αἰάκεια	 jeux en l'honneur d'Éaque	Αἰάκειος	des : ος, ον	
οἱ	Αἰακῖδαι	 les Éacides	Αἰακίδης	gens : ου	(ὁ) 
ὁ	Αἰγαῖος	 la mer Égée	Αἰγαῖος	des : α, ον,	
τὸ	Αἰγαῖον	 la mer Égée	Αἰγαῖος	des : α, ον,	
τὸ	Αἰγεῖον	 temple d'Égée	Αἰγεῖος	des : α, ον,	
ἡ	αἰγέα	 peau de chèvre	αἴγεος	des : α, ον,	
ἡ	αἰγίϐοτος	 pâturage pour les chèvres	αἰγίϐοτος	des : ος, ον	
οἱ	Αἰγικορῆς	 les Chevriers	Αἰγικορεῖς	gens : έων	(οἱ) 
οἱ	Αἰγικορέες	 les Chevriers	Αἰγικορεῖς	gens : έων	(οἱ) 
ὁ	αἰγόκερως	 le Capricorne	αἰγόκερως	des : ως, ων,	gens : ω,	
τὸ	Αἰγύπτιον	 le royaume d'Égypte	1 Αἰγύπτιος	des : α, ον,	
τὰ	Αἰγύπτια	 l'histoire d'Égypte	1 Αἰγύπτιος	des : α, ον,	
τὰ	Αἰθιοπικά	 Géographie de l'Éthiopie	Αἰθιοπικός	des : ή, όν,	
οἱ	Αἰνεάδαι	 les descendants d'Énée, les Romains	Αἰνεάδης	gens : ου	(ὁ) 
adv.	αἰνά	 pour notre malheur	αἰνός	des : ή, όν,	adv. 
τὰ	αἰσθητήρια	 les sens ou les facultés.	αἰσθητήριον	gens : ου	(τὸ) 
τὸ	αἰτιατόν	 l'effet (p. opp. à la cause)	αἰτιατός	des : ή, όν	
τὸ	αἰφνίδιον	 soudaineté	αἰφνίδιος	des : ος, ον	adv. 
adv.	αἰφνίδιον	 soudainement	αἰφνίδιος	des : ος, ον	adv. 
τὰ	ἀκάτεια	 petites voiles, aux grandes	ἀκάτειος	des : ος, ον	
ἡ	ἀκεστικός	 métier de ravaudeur, de tailleur	ἀκεστικός	des : ή, όν	
τὸ	ἀκιδωτόν	 sorte de plante	ἀκιδωτός	des : ή, όν	
adv.	ἀκλεές	 sans gloire	ἀκλεής	des : ής, ές,	adv. 
ἡ	Ἀκραγαντίνη	 le territoire d'Agrigente	Ἀκραγαντῖνος	des : η, ον	
adv.	ἀκρέσπερον	 sur le soir	ἀκρέσπερος	des : ος, ον,	adv. 
τὸ	ἀκροδίκαιον	 stricte justice.	ἀκροδίκαιος	des : ος, ον	
ὁ	ἀκρόλοφος	 sommet d'une colline	ἀκρόλοφος	des : ος, ον,	
ἡ	ἀλειπτική	 l'art de l'ἀλείπτης	ἀλειπτικός	des : ή, όν	
τὸ	ἀλεξιφάρμακον	 contre-poison, préservatif	ἀλεξιφάρμακος	des : ος, ον	
τὰ	Ἀλεξιφάρμακα	 les Antidotes	ἀλεξιφάρμακος	des : ος, ον	
adv.	ἄληκτον	 sans cesse, sans fin [attention : contrepèterie !]	ἄληκτος	des : ος, ον	adv. 
adv.	ἅλες	 en masse	ἁλής	des : ής, ές	adv. 
adv.	ἀλίαστον	 sans cesse	ἀλίαστος	des : ος, ον,	adv. 
τὰ	ἁλιευτικά	 les Halieutiques ou Traité de la pêche	ἁλιευτικός	des : ή, όν	
τὰ	ἅλιμα	 le bord de la mer	ἅλιμος	des : ος, ον	subst.
ὁ	ἅλιμος	 halimus ou arroche de mer	ἅλιμος	des : ος, ον	subst.
τὸ	ἅλιμον	 halimus ou arroche de mer	ἅλιμος	des : ος, ον	subst.
ἡ	ἁλκυονίς	 petit d'alcyon, alcyon	ἁλκυονίς	gens : ίδος,	adj. f. 
ἡ	ἀλλακτική	 l'art des échanges	ἀλλακτικός	des : ή, όν,	
ἡ	ἀλλοδαπή	 la terre étrangère	ἀλλοδαπός	des : ή, όν	
ὁ	ἄλλος	 le reste	ἄλλος	des : η, ο,	(ὁ ἄλλος, ἡ ἄλλη, etc.)adv. 
ἡ	ἄλλη	 le reste	ἄλλος	des : η, ο,	(ὁ ἄλλος, ἡ ἄλλη, etc.)adv. 
οἱ	ἄλλοι	 les autres	ἄλλος	des : η, ο,	(ὁ ἄλλος, ἡ ἄλλη, etc.)adv. 
τὰ	ἄλλα	 les autres choses, le reste du reste	ἄλλος	des : η, ο,	(ὁ ἄλλος, ἡ ἄλλη, etc.)adv. 
τὸ	ἄλλο	 les autres choses, le reste du reste	ἄλλος	des : η, ο,	(ὁ ἄλλος, ἡ ἄλλη, etc.)adv. 
τὰ	ἁλουργῆ	 vêtements de pourpre	ἁλουργής	des : ής, ές	
τὰ	ἁλυσιδωτά	 ouvrages (armures, faits en mailles)	ἁλυσιδωτός	des : ή, όν	
