TargetWord	Language	LexClient	LemmaWord	lsj (Liddell, Scott, Jones)
Αὐτοφραδάτης	greek	no	Αὐτοφραδάτης	no
Αἰήτας	greek	no	Αἰήτης	no
Αἰήτης	greek	no	Αἰήτης	no
Αἰακίδης	greek	no	Αἰακίδης	no
Αἰακός	greek	no	Αἰακός	no
Αἰαντίδης1	greek	yes	Αἰαντίδης	son of Ajax
Αἰαντίδης2	greek	yes	Αἰαντίδης	son of Ajax
Αἰαντίς	greek	no	Αἰαντίς	no
Αἰγάλεως	greek	no	Αἰγάλευς	no
Αἰγέστης	greek	no	Αἴγεστα	no
Αἰγίας	greek	no	Αἴγιαι	no
Αἰγίας	greek	no	Αἰγίαι	no
Αἰγίας	greek	yes	Αἰγίς	goatskin
Αἰγίλια	greek	no	Αἰγιλία	no
Αἰγίτιον	greek	no	Αἰγίτιον	no
Αἰγαί	greek	no	Αἰγαί	no
Αἰγαίων1	greek	yes	Αἰγαίων	the Aegaean sea
Αἰγαίων1	greek	yes	Αἰγαῖος	mount Ida
Αἰγαίων2	greek	yes	Αἰγαίων	the Aegaean sea
Αἰγαίων2	greek	yes	Αἰγαῖος	mount Ida
Αἰγαῖαι	greek	yes	Αἰγαῖος	mount Ida
Αἰγείδης2	greek	no	Αἰγεΐδης	no
Αἰγεύς	greek	no	Αἰγεύς	no
Αἰγιάλεια	greek	no	Αἰγιάλεια	no
Αἰγιάλεια	greek	yes	Αἰγιάλειος	frequenting the shore
Αἰγιάλεια	greek	yes	αἰγιάλειος	frequenting the shore
Αἰγιεύς	greek	no	Αἰγιεύς	no
Αἰγινήτης	greek	no	Αἰγινήτης	no
Αἰγινητικός	greek	no	Αἰγινητικός	no
Αἰγιρόεσσα	greek	no	Αἰγιρόεσσα	no
Αἰγόσθενα	greek	no	Αἰγόσθενα	no
Αἰγύπτιος1	greek	yes	Αἰγύπτιος	in Egyptian style
Αἰγύπτιος2	greek	yes	Αἰγύπτιος	in Egyptian style
Αἰγών	greek	no	αἰγών	no
Αἰθαιεύς	greek	no	Αἰθαιεύς	no
Αἰθαλίδης	greek	no	Αἰθαλίδης	no
Αἰθαλίδης1	greek	no	Αἰθαλίδης	no
Αἰθαλίδης2	greek	no	Αἰθαλίδης	no
Αἰθιοπία	greek	no	Αἰθιοπία	no
Αἰθιοπία	greek	no	Αἰθιόπιος	no
Αἰθιοπικός	greek	no	Αἰθιοπικός	no
Αἰθιόπιος	greek	no	Αἰθιόπιος	no
Αἰθιόπισσα	greek	yes	Αἰθιοπίζω	to speak or be like an Ethiopian
Αἰλιανός	greek	no	Αἰλιανός	no
Αἰμίλιος	greek	no	Αἰμίλιος	no
Αἰμιλιανός	greek	no	Αἰμιλιανός	no
Αἰνέας	greek	no	Αἰνείας	no
Αἰνήτη	greek	no	Αἰνήτη	no
Αἰναρία	greek	no	Αἰναρία	no
Αἰνείας	greek	no	Αἰνείας	no
Αἰνεσίδημος	greek	no	Αἰνεσίδημος	no
Αἰνησίας	greek	no	Αἰνησίης	no
Αἰνησίδημος	greek	no	Αἰνησίδημος	no
Αἰνύρων χῶρος	greek	yes	χῶρος	a definite space, piece of ground, place
Αἰολάδας	greek	no	Αἰολάδης	no
Αἰολίων	greek	no	Αἰόλιος	no
Αἰολίων	greek	no	αἰολέω	no
Αἰολεῖς	greek	yes	Αἰολεύς	of or like the Aeolians
Αἰολεῖς	greek	no	αἰολέω	no
Αἰολικός	greek	no	Αἰολικός	no
